"time","date","alos","lag.alos","smooth.alos"
240,2020-10-27,7.5,6.8,7.01415598088419
241,2020-10-28,7.5,6.8,7.00894184073941
242,2020-10-29,7.5,6.8,7.00458895159762
243,2020-10-30,7.5,6.8,7.00112297022353
244,2020-10-31,7.5,6.8,6.99856955338185
245,2020-11-01,6.8,6.8,6.99695435783729
246,2020-11-02,6.8,6.8,6.99630304035456
247,2020-11-03,6.8,6.8,6.99664125769837
248,2020-11-04,6.8,6.8,6.99799466663342
249,2020-11-05,6.8,6.8,7.00038892392444
250,2020-11-06,6.8,6.8,7.00384968633611
251,2020-11-07,6.8,6.8,7.00840261063317
252,2020-11-08,6.8,6.8,7.01407335358032
253,2020-11-09,6.8,6.8,7.02088757194226
254,2020-11-10,6.8,6.8,7.0288709224837
255,2020-11-11,6.8,6.8,7.03804906196937
256,2020-11-12,6.8,6.8,7.04844764716395
257,2020-11-13,6.8,6.8,7.06009233483218
258,2020-11-14,6.8,6.8,7.07300878173875
259,2020-11-15,6.8,6.8,7.08722264464837
260,2020-11-16,6.8,6.8,7.10275958032576
261,2020-11-17,6.8,7.6,7.11964524553563
262,2020-11-18,6.8,7.6,7.13790529704268
263,2020-11-19,6.8,7.6,7.15756539161162
264,2020-11-20,6.8,7.6,7.17863210087665
265,2020-11-21,6.8,7.6,7.20103565594988
266,2020-11-22,6.8,7.6,7.22468720281292
267,2020-11-23,6.8,7.6,7.24949788744737
268,2020-11-24,6.8,7.6,7.27537885583484
269,2020-11-25,6.8,7.6,7.30224125395692
270,2020-11-26,6.8,7.6,7.32999622779521
271,2020-11-27,6.8,7.6,7.35855492333133
272,2020-11-28,6.8,7.6,7.38782848654687
273,2020-11-29,6.8,7.6,7.41772806342342
274,2020-11-30,6.8,7.6,7.44816479994261
275,2020-12-01,7.6,7.6,7.47904984208602
276,2020-12-02,7.6,7.6,7.51029433583526
277,2020-12-03,7.6,7.6,7.54180942717194
278,2020-12-04,7.6,7.6,7.57350626207764
279,2020-12-05,7.6,7.6,7.60529598653399
280,2020-12-06,7.6,7.6,7.63708974652257
281,2020-12-07,7.6,7.6,7.66879868802499
282,2020-12-08,7.6,7.6,7.70033395702286
283,2020-12-09,7.6,7.6,7.73160669949777
284,2020-12-10,7.6,7.6,7.76252806143132
285,2020-12-11,7.6,7.6,7.79300918880513
286,2020-12-12,7.6,7.6,7.82296122760079
287,2020-12-13,7.6,7.6,7.8522953237999
288,2020-12-14,7.6,7.6,7.88092262338406
289,2020-12-15,7.6,7.6,7.90875427233489
290,2020-12-16,7.6,7.6,7.93570141663397
291,2020-12-17,7.6,7.6,7.96167520226292
292,2020-12-18,7.6,8.2,7.98658677520333
293,2020-12-19,7.6,8.2,8.01034728143681
294,2020-12-20,7.6,8.2,8.03286786694495
295,2020-12-21,7.6,8.2,8.05405967770937
296,2020-12-22,7.6,8.2,8.07383385971166
297,2020-12-23,7.6,8.2,8.09212519001008
298,2020-12-24,7.6,8.2,8.10896296996948
299,2020-12-25,7.6,8.2,8.1244001320314
300,2020-12-26,7.6,8.2,8.13848960863733
301,2020-12-27,7.6,8.2,8.1512843322288
302,2020-12-28,7.6,8.2,8.16283723524733
303,2020-12-29,7.6,8.2,8.17320125013442
304,2020-12-30,7.6,8.2,8.18242930933159
305,2020-12-31,7.6,8.2,8.19057434528037
306,2021-01-01,8.2,8.2,8.19768929042226
307,2021-01-02,8.2,8.2,8.20382707719878
308,2021-01-03,8.2,8.2,8.20904063805144
309,2021-01-04,8.2,8.2,8.21338290542176
310,2021-01-05,8.2,8.2,8.21690681175126
311,2021-01-06,8.2,8.2,8.21966528948146
312,2021-01-07,8.2,8.2,8.22171127105386
313,2021-01-08,8.2,8.2,8.22309768890998
314,2021-01-09,8.2,8.2,8.22387747549134
315,2021-01-10,8.2,8.2,8.22410356323945
316,2021-01-11,8.2,8.2,8.22382888459583
317,2021-01-12,8.2,8.2,8.223106372002
318,2021-01-13,8.2,8.2,8.22198895789946
319,2021-01-14,8.2,8.2,8.22052957472974
320,2021-01-15,8.2,8.2,8.21878115493436
321,2021-01-16,8.2,8.2,8.21679663095481
322,2021-01-17,8.2,8.2,8.21462893523263
323,2021-01-18,8.2,8.2,8.21233100020933
324,2021-01-19,8.2,8.2,8.20995575832642
325,2021-01-20,8.2,8.2,8.20755614202542
326,2021-01-21,8.2,8.2,8.20518508374784
327,2021-01-22,8.2,8.2,8.2028955159352
328,2021-01-23,8.2,8.2,8.20074037102901
329,2021-01-24,8.2,8.2,8.1987725814708
330,2021-01-25,8.2,8.2,8.19703449531311
331,2021-01-26,8.2,8.2,8.19552612305267
332,2021-01-27,8.2,8.2,8.19423689079723
333,2021-01-28,8.2,8.2,8.19315622465457
334,2021-01-29,8.2,8.2,8.19227355073244
335,2021-01-30,8.2,8.2,8.1915782951386
336,2021-01-31,8.2,8.2,8.19105988398081
337,2021-02-01,8.2,8.2,8.19070774336684
338,2021-02-02,8.2,8.2,8.19051129940445
339,2021-02-03,8.2,8.2,8.1904599782014
340,2021-02-04,8.2,8.2,8.19054320586545
341,2021-02-05,8.2,8.2,8.19075040850436
342,2021-02-06,8.2,8.2,8.19107101222589
343,2021-02-07,8.2,8.2,8.19149444313781
344,2021-02-08,8.2,8.2,8.19201012734787
345,2021-02-09,8.2,8.2,8.19260749096384
346,2021-02-10,8.2,8.2,8.19327596009349
347,2021-02-11,8.2,8.2,8.19400496084456
348,2021-02-12,8.2,8.2,8.19478391932483
349,2021-02-13,8.2,8.2,8.19560226164205
350,2021-02-14,8.2,8.2,8.19644941390398
351,2021-02-15,8.2,8.2,8.1973148022184
352,2021-02-16,8.2,8.2,8.19818785269305
353,2021-02-17,8.2,8.2,8.1990579914357
354,2021-02-18,8.2,8.2,8.19991464455412
355,2021-02-19,8.2,8.2,8.20074723815605
356,2021-02-20,8.2,8.2,8.20154519834928
357,2021-02-21,8.2,8.2,8.20229795124154
358,2021-02-22,8.2,8.2,8.20299492294062
359,2021-02-23,8.2,8.2,8.20362553955426
360,2021-02-24,8.2,8.2,8.20417922719024
361,2021-02-25,8.2,8.2,8.20464541195631
362,2021-02-26,8.2,8.2,8.20501351996023
363,2021-02-27,8.2,8.2,8.20527594033274
364,2021-02-28,8.2,8.2,8.20543691429644
365,2021-03-01,8.2,8.2,8.20550364609693
366,2021-03-02,8.2,8.2,8.20548333997978
367,2021-03-03,8.2,8.2,8.20538320019057
368,2021-03-04,8.2,8.2,8.20521043097489
369,2021-03-05,8.2,8.2,8.20497223657832
370,2021-03-06,8.2,8.2,8.20467582124644
371,2021-03-07,8.2,8.2,8.20432838922483
372,2021-03-08,8.2,8.2,8.20393714475909
373,2021-03-09,8.2,8.2,8.20350929209478
374,2021-03-10,8.2,8.2,8.20305203547749
375,2021-03-11,8.2,8.2,8.20257257915281
376,2021-03-12,8.2,8.2,8.20207812736631
377,2021-03-13,8.2,8.2,8.20157588436359
378,2021-03-14,8.2,8.2,8.20107305439021
379,2021-03-15,8.2,8.2,8.20057684169177
380,2021-03-16,8.2,8.2,8.20009445051384
381,2021-03-17,8.2,8.2,8.19963308510201
382,2021-03-18,8.2,8.2,8.19919994970186
383,2021-03-19,8.2,8.2,8.19880224855897
384,2021-03-20,8.2,8.2,8.19844718591893
385,2021-03-21,8.2,8.2,8.19814196602732
386,2021-03-22,8.2,8.2,8.19789379312972
387,2021-03-23,8.2,8.2,8.19770987147171
388,2021-03-24,8.2,8.2,8.19759740529887
389,2021-03-25,8.2,8.2,8.19756359885679
390,2021-03-26,8.2,8.2,8.19761565639105
391,2021-03-27,8.2,8.2,8.19776078214724
392,2021-03-28,8.2,8.2,8.19800618037093
393,2021-03-29,8.2,8.2,8.1983590553077
394,2021-03-30,8.2,8.2,8.19882661120315
395,2021-03-31,8.2,8.2,8.19941605230284
