Date,County,cum_hosp
2020-07-02,Windham,312
2020-07-03,Fairfield,4758
2020-07-03,Hartford,5642
2020-07-03,Litchfield,764
2020-07-03,Middlesex,1153
2020-07-03,New Haven,3542
2020-07-03,New London,888
2020-07-03,Tolland,54
2020-07-03,Windham,318
2020-07-04,Fairfield,4782
2020-07-04,Hartford,5659
2020-07-04,Litchfield,775
2020-07-04,Middlesex,1157
2020-07-04,New Haven,3559
2020-07-04,New London,892
2020-07-04,Tolland,54
2020-07-04,Windham,320
2020-07-05,Fairfield,4817
2020-07-05,Hartford,5678
2020-07-05,Litchfield,782
2020-07-05,Middlesex,1165
2020-07-05,New Haven,3579
2020-07-05,New London,894
2020-07-05,Tolland,54
2020-07-05,Windham,323
2020-07-06,Fairfield,4851
2020-07-06,Hartford,5696
2020-07-06,Litchfield,788
2020-07-06,Middlesex,1174
2020-07-06,New Haven,3592
2020-07-06,New London,899
2020-07-06,Tolland,54
2020-07-06,Windham,331
2020-07-07,Fairfield,4892
2020-07-07,Hartford,5709
2020-07-07,Litchfield,790
2020-07-07,Middlesex,1181
2020-07-07,New Haven,3609
2020-07-07,New London,907
2020-07-07,Tolland,54
2020-07-07,Windham,333
2020-07-08,Fairfield,4932
2020-07-08,Hartford,5725
2020-07-08,Litchfield,803
2020-07-08,Middlesex,1191
2020-07-08,New Haven,3623
2020-07-08,New London,914
2020-07-08,Tolland,54
2020-07-08,Windham,335
2020-07-09,Fairfield,4968
2020-07-09,Hartford,5747
2020-07-09,Litchfield,809
2020-07-09,Middlesex,1198
2020-07-09,New Haven,3641
2020-07-09,New London,919
2020-07-09,Tolland,54
2020-07-09,Windham,337
2020-07-10,Fairfield,4993
2020-07-10,Hartford,5755
2020-07-10,Litchfield,813
2020-07-10,Middlesex,1205
2020-07-10,New Haven,3661
2020-07-10,New London,924
2020-07-10,Tolland,54
2020-07-10,Windham,341
2020-07-11,Fairfield,5020
2020-07-11,Hartford,5762
2020-07-11,Litchfield,819
2020-07-11,Middlesex,1215
2020-07-11,New Haven,3681
2020-07-11,New London,924
2020-07-11,Tolland,54
2020-07-11,Windham,341
2020-07-12,Fairfield,5054
2020-07-12,Hartford,5780
2020-07-12,Litchfield,820
2020-07-12,Middlesex,1223
2020-07-12,New Haven,3699
2020-07-12,New London,927
2020-07-12,Tolland,54
2020-07-12,Windham,342
2020-07-13,Fairfield,5071
2020-07-13,Hartford,5792
2020-07-13,Litchfield,823
2020-07-13,Middlesex,1233
2020-07-13,New Haven,3718
2020-07-13,New London,932
2020-07-13,Tolland,54
2020-07-13,Windham,343
2020-07-14,Fairfield,5100
2020-07-14,Hartford,5808
2020-07-14,Litchfield,827
2020-07-14,Middlesex,1243
2020-07-14,New Haven,3746
2020-07-14,New London,942
2020-07-14,Tolland,54
2020-07-14,Windham,345
2020-07-15,Fairfield,5126
2020-07-15,Hartford,5826
2020-07-15,Litchfield,832
